fecha,lead_id,canal,segmento,convertido,dias_a_primera_respuesta
2026-05-13,L00057,instagram,donacion,0,0
2026-05-13,L00058,instagram,talleres,1,2
2026-05-13,L00059,web,talleres,1,0
2026-05-13,L00060,facebook,general,0,0
2026-05-13,L00061,web,talleres,1,0
2026-05-13,L00062,instagram,voluntariado,0,0
2026-05-14,L00063,instagram,voluntariado,0,3
2026-05-14,L00064,facebook,talleres,0,5
2026-05-14,L00065,podium,donacion,0,1
2026-05-14,L00066,referido,talleres,0,0
2026-05-14,L00067,instagram,talleres,1,1
2026-05-14,L00068,web,general,0,0
2026-05-14,L00069,instagram,talleres,0,1
2026-05-14,L00070,facebook,voluntariado,0,0
2026-05-14,L00071,instagram,talleres,1,0
2026-05-14,L00072,instagram,voluntariado,1,1
2026-05-14,L00073,facebook,talleres,1,0
2026-05-14,L00074,web,talleres,0,1
2026-05-14,L00075,referido,donacion,1,0
2026-05-14,L00076,web,talleres,1,1
2026-05-14,L00077,web,talleres,0,1
2026-05-14,L00078,podium,voluntariado,0,5
2026-05-14,L00079,facebook,talleres,0,2
2026-05-14,L00080,facebook,voluntariado,1,5
2026-05-15,L00081,referido,voluntariado,0,3
2026-05-15,L00082,podium,talleres,0,5
2026-05-15,L00083,web,general,0,0
2026-05-15,L00084,facebook,voluntariado,0,1
2026-05-15,L00085,podium,voluntariado,1,1
2026-05-15,L00086,web,general,0,2
2026-05-16,L00087,instagram,general,0,0
2026-05-16,L00088,facebook,donacion,1,2
2026-05-16,L00089,referido,talleres,1,2
2026-05-16,L00090,instagram,voluntariado,0,0
2026-05-17,L00091,facebook,voluntariado,1,1
2026-05-17,L00092,web,donacion,0,0
2026-05-17,L00093,web,voluntariado,0,0
2026-05-17,L00094,web,voluntariado,0,5
2026-05-18,L00095,instagram,talleres,0,1
2026-05-18,L00096,facebook,general,0,5
2026-05-18,L00097,referido,talleres,1,0
2026-05-18,L00098,instagram,talleres,0,1
2026-05-18,L00099,podium,voluntariado,1,0
2026-05-18,L00100,facebook,talleres,1,1
2026-05-19,L00101,referido,talleres,0,1
2026-05-19,L00102,facebook,voluntariado,0,0
2026-05-19,L00103,podium,talleres,0,2
2026-05-19,L00104,instagram,talleres,0,0
2026-05-19,L00105,instagram,talleres,0,0
2026-05-19,L00106,instagram,talleres,1,1
2026-05-20,L00107,podium,donacion,0,0
2026-05-20,L00108,web,general,0,1
2026-05-20,L00109,facebook,general,0,2
2026-05-20,L00110,facebook,talleres,0,1
2026-05-20,L00111,web,talleres,0,0
2026-05-20,L00112,podium,talleres,1,1
2026-05-20,L00113,web,general,0,0
2026-05-21,L00114,facebook,talleres,1,1
2026-05-21,L00115,instagram,talleres,0,3
2026-05-21,L00116,podium,general,0,1
2026-05-21,L00117,instagram,talleres,1,0
2026-05-21,L00118,referido,donacion,1,1
2026-05-21,L00119,web,talleres,0,0
2026-05-22,L00120,facebook,general,0,0
2026-05-22,L00121,web,talleres,0,0
2026-05-22,L00122,web,talleres,0,0
2026-05-22,L00123,instagram,talleres,0,1
2026-05-22,L00124,web,talleres,1,0
2026-05-22,L00125,facebook,voluntariado,1,0
2026-05-23,L00126,instagram,donacion,0,0
2026-05-23,L00127,web,talleres,1,2
2026-05-23,L00128,referido,general,0,1
2026-05-23,L00129,facebook,talleres,0,0
2026-05-24,L00130,podium,talleres,1,0
2026-05-24,L00131,podium,talleres,0,0
2026-05-24,L00132,web,general,0,0
2026-05-24,L00133,web,talleres,1,1
2026-05-25,L00134,instagram,donacion,0,1
2026-05-25,L00135,web,talleres,0,0
2026-05-25,L00136,facebook,talleres,1,5
2026-05-25,L00137,podium,talleres,1,3
2026-05-25,L00138,podium,voluntariado,0,0
2026-05-25,L00139,instagram,talleres,0,0
2026-05-25,L00140,facebook,voluntariado,0,2
2026-05-26,L00141,podium,talleres,0,2
2026-05-26,L00142,facebook,general,0,1
2026-05-26,L00143,instagram,talleres,0,5
2026-05-26,L00144,instagram,talleres,0,1
2026-05-26,L00145,web,voluntariado,1,2
2026-05-26,L00146,referido,talleres,1,1
2026-05-26,L00147,facebook,talleres,1,0
2026-05-27,L00148,web,voluntariado,0,1
2026-05-27,L00149,web,talleres,1,1
2026-05-27,L00150,facebook,donacion,1,0
2026-05-27,L00151,instagram,talleres,1,0
2026-05-27,L00152,instagram,donacion,0,0
2026-05-27,L00153,instagram,talleres,1,2
2026-05-27,L00154,facebook,talleres,0,0
2026-05-28,L00155,referido,talleres,1,5
2026-05-28,L00156,facebook,talleres,0,1
2026-05-28,L00157,referido,voluntariado,1,3
2026-05-28,L00158,instagram,talleres,0,2
2026-05-28,L00159,web,talleres,0,1
2026-05-28,L00160,web,talleres,0,0
2026-05-29,L00161,referido,talleres,0,1
2026-05-29,L00162,podium,general,0,0
2026-05-29,L00163,web,voluntariado,0,2
2026-05-29,L00164,facebook,talleres,0,1
2026-05-29,L00165,referido,talleres,0,1
2026-05-29,L00166,referido,voluntariado,1,0
2026-05-29,L00167,instagram,talleres,1,2
2026-05-30,L00168,instagram,talleres,1,0
2026-05-30,L00169,instagram,talleres,0,1
2026-05-30,L00170,facebook,voluntariado,0,1
2026-05-30,L00171,facebook,talleres,0,0
2026-05-31,L00172,web,voluntariado,1,5
2026-05-31,L00173,instagram,talleres,0,0
2026-05-31,L00174,referido,general,0,0
2026-06-01,L00175,facebook,general,0,0
2026-06-01,L00176,facebook,general,0,1
2026-06-01,L00177,instagram,talleres,0,1
2026-06-01,L00178,instagram,talleres,1,3
2026-06-01,L00179,facebook,talleres,0,0
2026-06-01,L00180,web,voluntariado,1,0
2026-06-01,L00181,instagram,talleres,0,1
2026-06-02,L00182,web,talleres,1,0
2026-06-02,L00183,web,talleres,1,0
2026-06-02,L00184,referido,talleres,1,0
2026-06-02,L00185,web,general,0,3
2026-06-02,L00186,web,talleres,0,0
2026-06-02,L00187,podium,general,0,3
2026-06-02,L00188,instagram,talleres,0,5
2026-06-02,L00189,instagram,general,0,3
2026-06-02,L00190,referido,general,0,1
2026-06-03,L00191,web,talleres,0,0
2026-06-03,L00192,web,voluntariado,1,3
2026-06-03,L00193,web,donacion,0,1
2026-06-03,L00194,facebook,voluntariado,0,0
2026-06-03,L00195,facebook,voluntariado,0,0
2026-06-03,L00196,web,talleres,1,1
2026-06-03,L00197,web,talleres,0,1
2026-06-03,L00198,facebook,talleres,0,0
2026-06-03,L00199,web,talleres,0,0
2026-06-04,L00200,podium,donacion,0,1
2026-06-04,L00201,instagram,donacion,0,1
2026-06-04,L00202,web,talleres,1,5
2026-06-04,L00203,facebook,talleres,0,1
2026-06-04,L00204,facebook,donacion,0,1
2026-06-04,L00205,web,talleres,1,0
2026-06-04,L00206,instagram,donacion,0,0
2026-06-04,L00207,instagram,general,0,2
2026-06-05,L00208,instagram,talleres,0,3
2026-06-05,L00209,instagram,talleres,0,0
2026-06-05,L00210,web,voluntariado,0,0
2026-06-05,L00211,web,talleres,1,0
2026-06-05,L00212,instagram,talleres,0,0
2026-06-05,L00213,podium,talleres,1,0
2026-06-05,L00214,web,donacion,0,2
2026-06-05,L00215,web,donacion,0,0
2026-06-05,L00216,facebook,talleres,0,0
2026-06-05,L00217,web,donacion,0,2
2026-06-05,L00218,facebook,general,0,0
2026-06-05,L00219,web,talleres,0,1
2026-06-05,L00220,facebook,voluntariado,0,1
2026-06-05,L00221,referido,donacion,1,3
2026-06-05,L00222,web,talleres,1,1
2026-06-05,L00223,web,talleres,0,1
2026-06-05,L00224,facebook,talleres,0,0
2026-06-06,L00225,web,voluntariado,0,0
2026-06-06,L00226,facebook,general,0,1
2026-06-06,L00227,podium,general,0,1
2026-06-06,L00228,referido,talleres,0,0
2026-06-07,L00229,web,talleres,0,1
2026-06-07,L00230,podium,general,0,1
2026-06-07,L00231,facebook,general,0,0
2026-06-07,L00232,web,talleres,0,1
2026-06-08,L00233,facebook,talleres,1,0
2026-06-08,L00234,web,talleres,1,1
2026-06-08,L00235,instagram,general,0,0
2026-06-08,L00236,facebook,general,1,0
2026-06-08,L00237,facebook,talleres,0,0
2026-06-08,L00238,web,general,0,1
2026-06-08,L00239,facebook,voluntariado,1,0
2026-06-08,L00240,web,talleres,0,0
2026-06-09,L00241,podium,talleres,0,0
2026-06-09,L00242,instagram,talleres,0,0
2026-06-09,L00243,web,talleres,0,5
2026-06-09,L00244,facebook,talleres,1,1
2026-06-09,L00245,instagram,talleres,1,0
2026-06-09,L00246,podium,voluntariado,0,0
2026-06-09,L00247,podium,general,0,0
2026-06-09,L00248,instagram,talleres,0,1
2026-06-09,L00249,instagram,talleres,0,2
2026-06-10,L00250,instagram,voluntariado,1,0
2026-06-10,L00251,web,voluntariado,0,0
2026-06-10,L00252,instagram,general,0,3
2026-06-10,L00253,instagram,talleres,1,1
2026-06-10,L00254,referido,talleres,0,0
2026-06-10,L00255,podium,voluntariado,1,0
2026-06-10,L00256,referido,voluntariado,0,0
2026-06-11,L00257,facebook,talleres,1,0
2026-06-11,L00258,podium,talleres,0,1
2026-06-11,L00259,instagram,talleres,0,0
2026-06-11,L00260,facebook,talleres,0,0
2026-06-11,L00261,facebook,voluntariado,0,0
2026-06-11,L00262,referido,general,1,0
2026-06-11,L00263,web,talleres,0,1
2026-06-12,L00264,web,talleres,1,1
2026-06-12,L00265,referido,general,0,0
2026-06-12,L00266,instagram,talleres,0,0
2026-06-12,L00267,web,talleres,1,5
2026-06-12,L00268,podium,general,1,1
2026-06-13,L00269,facebook,talleres,0,1
2026-06-13,L00270,web,donacion,1,3
2026-06-13,L00271,instagram,general,0,3
2026-06-13,L00272,facebook,talleres,0,5
2026-06-13,L00273,web,talleres,1,1
2026-06-14,L00274,podium,talleres,0,2
2026-06-14,L00275,web,general,0,0
2026-06-14,L00276,web,donacion,0,0
2026-06-14,L00277,facebook,donacion,0,0
2026-06-15,L00278,facebook,talleres,0,0
2026-06-15,L00279,referido,talleres,0,0
2026-06-15,L00280,web,talleres,1,1
2026-06-15,L00281,web,voluntariado,0,1
2026-06-15,L00282,facebook,general,0,0
2026-06-15,L00283,instagram,donacion,0,1
2026-06-16,L00284,web,donacion,0,1
2026-06-16,L00285,podium,voluntariado,0,0
2026-06-16,L00286,referido,voluntariado,0,0
2026-06-16,L00287,referido,donacion,0,3
2026-06-16,L00288,podium,talleres,1,3
2026-06-16,L00289,referido,donacion,1,0
2026-06-16,L00290,referido,general,1,0
2026-06-16,L00291,web,general,0,2
2026-06-17,L00292,web,talleres,0,1
2026-06-17,L00293,referido,talleres,0,0
2026-06-17,L00294,instagram,talleres,1,5
2026-06-17,L00295,podium,donacion,0,1
2026-06-17,L00296,web,general,0,1
2026-06-17,L00297,instagram,donacion,1,1
2026-06-17,L00298,podium,talleres,0,1
2026-06-17,L00299,instagram,general,0,2
2026-06-17,L00300,instagram,general,0,0
2026-06-18,L00301,web,voluntariado,0,2
2026-06-18,L00302,facebook,talleres,0,2
2026-06-18,L00303,referido,talleres,1,0
2026-06-18,L00304,web,general,0,1
2026-06-18,L00305,web,donacion,0,0
2026-06-18,L00306,facebook,general,0,2
2026-06-18,L00307,instagram,talleres,1,0
2026-06-18,L00308,facebook,talleres,0,0
2026-06-19,L00309,facebook,talleres,0,1
2026-06-19,L00310,instagram,general,0,0
2026-06-19,L00311,instagram,donacion,0,2
2026-06-19,L00312,facebook,talleres,1,0
2026-06-19,L00313,web,talleres,0,0
2026-06-19,L00314,facebook,talleres,0,0
2026-06-20,L00315,referido,general,1,0
2026-06-20,L00316,web,general,0,0
2026-06-20,L00317,podium,donacion,0,1
2026-06-20,L00318,instagram,talleres,1,1
2026-06-21,L00319,web,general,0,0
2026-06-21,L00320,instagram,talleres,1,1
2026-06-21,L00321,web,voluntariado,0,1
2026-06-22,L00322,facebook,talleres,0,1
2026-06-22,L00323,instagram,donacion,1,2
2026-06-22,L00324,facebook,talleres,0,1
2026-06-22,L00325,facebook,voluntariado,1,1
2026-06-22,L00326,web,general,0,0
2026-06-22,L00327,facebook,talleres,1,0
2026-06-22,L00328,web,general,0,0
2026-06-23,L00329,instagram,talleres,0,0
2026-06-23,L00330,facebook,talleres,1,5
2026-06-23,L00331,facebook,donacion,0,0
2026-06-23,L00332,facebook,donacion,0,3
2026-06-23,L00333,facebook,talleres,1,0
2026-06-23,L00334,web,talleres,0,0
2026-06-23,L00335,facebook,voluntariado,1,0
2026-06-23,L00336,web,talleres,0,0
2026-06-23,L00337,facebook,talleres,0,0
2026-06-24,L00338,podium,talleres,0,0
2026-06-24,L00339,web,donacion,0,2
2026-06-24,L00340,podium,talleres,1,0
2026-06-24,L00341,facebook,donacion,0,1
2026-06-24,L00342,web,general,1,3
2026-06-24,L00343,web,talleres,0,5
2026-06-24,L00344,instagram,talleres,0,0
2026-06-24,L00345,podium,talleres,0,3
2026-06-25,L00346,podium,general,0,1
2026-06-25,L00347,facebook,talleres,1,3
2026-06-25,L00348,web,talleres,0,2
2026-06-25,L00349,web,talleres,0,1
2026-06-25,L00350,referido,general,0,0
2026-06-25,L00351,instagram,talleres,1,1
2026-06-25,L00352,referido,donacion,0,0
2026-06-25,L00353,web,general,0,0
2026-06-26,L00354,facebook,talleres,1,1
2026-06-26,L00355,instagram,general,1,2
2026-06-26,L00356,instagram,talleres,0,0
2026-06-26,L00357,web,donacion,1,0
2026-06-26,L00358,web,talleres,0,2
2026-06-26,L00359,instagram,voluntariado,0,0
2026-06-26,L00360,web,general,1,5
2026-06-27,L00361,instagram,talleres,1,0
2026-06-27,L00362,podium,talleres,1,0
2026-06-27,L00363,instagram,talleres,1,1
2026-06-27,L00364,podium,talleres,0,5
2026-06-27,L00365,facebook,general,0,3
2026-06-27,L00366,facebook,talleres,0,0
2026-06-27,L00367,podium,talleres,1,0
2026-06-27,L00368,instagram,talleres,1,0
2026-06-27,L00369,web,talleres,1,2
2026-06-27,L00370,instagram,voluntariado,0,0
2026-06-27,L00371,web,talleres,1,0
2026-06-27,L00372,facebook,talleres,0,2
2026-06-28,L00373,instagram,general,1,0
2026-06-28,L00374,podium,talleres,1,1
2026-06-28,L00375,podium,talleres,0,0
2026-06-29,L00376,podium,talleres,0,0
2026-06-29,L00377,facebook,talleres,0,1
2026-06-29,L00378,facebook,voluntariado,0,0
2026-06-29,L00379,web,talleres,1,3
2026-06-29,L00380,referido,talleres,1,0
2026-06-29,L00381,facebook,talleres,0,1
2026-06-29,L00382,web,voluntariado,1,1
2026-06-29,L00383,podium,general,0,0
2026-06-30,L00384,podium,talleres,1,1
2026-06-30,L00385,instagram,talleres,1,2
2026-06-30,L00386,instagram,general,1,0
2026-06-30,L00387,web,general,0,1
2026-06-30,L00388,facebook,talleres,0,2
2026-06-30,L00389,facebook,talleres,1,0
2026-06-30,L00390,facebook,talleres,0,1
2026-06-30,L00391,facebook,voluntariado,0,2
2026-06-30,L00392,facebook,general,1,1
2026-07-01,L00393,podium,voluntariado,0,0
2026-07-01,L00394,instagram,talleres,1,2
2026-07-01,L00395,referido,talleres,1,0
2026-07-01,L00396,instagram,voluntariado,0,0
2026-07-01,L00397,facebook,general,1,0
2026-07-01,L00398,facebook,talleres,1,0
2026-07-01,L00399,facebook,general,0,0
2026-07-01,L00400,instagram,talleres,1,1
2026-07-01,L00401,referido,talleres,1,0
2026-07-02,L00402,podium,talleres,1,0
2026-07-02,L00403,facebook,voluntariado,0,3
2026-07-02,L00404,podium,talleres,0,0
2026-07-02,L00405,facebook,talleres,0,0
2026-07-02,L00406,facebook,talleres,1,1
2026-07-02,L00407,web,voluntariado,0,1
2026-07-02,L00408,web,talleres,0,1
2026-07-02,L00409,facebook,voluntariado,0,3
2026-07-03,L00410,facebook,talleres,1,1
2026-07-03,L00411,instagram,talleres,0,0
2026-07-03,L00412,instagram,general,0,0
2026-07-03,L00413,facebook,general,0,2
2026-07-03,L00414,referido,talleres,0,0
2026-07-03,L00415,web,talleres,1,1
2026-07-03,L00416,instagram,general,0,0
2026-07-04,L00417,facebook,talleres,0,2
2026-07-04,L00418,web,talleres,1,0
2026-07-04,L00419,facebook,talleres,0,0
2026-07-04,L00420,web,talleres,0,2
2026-07-05,L00421,web,talleres,0,5
2026-07-05,L00422,facebook,talleres,0,0
2026-07-05,L00423,instagram,voluntariado,1,0
2026-07-05,L00424,web,talleres,0,0
2026-07-05,L00425,facebook,voluntariado,0,0
2026-07-06,L00426,web,talleres,0,0
2026-07-06,L00427,instagram,donacion,0,0
2026-07-06,L00428,web,general,1,2
2026-07-06,L00429,instagram,talleres,1,1
2026-07-06,L00430,web,talleres,1,1
2026-07-06,L00431,web,talleres,0,0
2026-07-06,L00432,facebook,talleres,0,1
2026-07-06,L00433,podium,talleres,1,2
2026-07-06,L00434,web,talleres,0,0
2026-07-07,L00435,podium,talleres,1,1
2026-07-07,L00436,web,donacion,0,0
2026-07-07,L00437,instagram,donacion,0,3
2026-07-07,L00438,instagram,general,1,2
2026-07-07,L00439,web,general,0,0
2026-07-07,L00440,instagram,voluntariado,0,3
2026-07-07,L00441,facebook,general,0,2
2026-07-08,L00442,referido,talleres,0,0
2026-07-08,L00443,web,voluntariado,0,2
2026-07-08,L00444,instagram,general,0,0
2026-07-08,L00445,web,talleres,1,1
2026-07-08,L00446,instagram,talleres,0,0
2026-07-08,L00447,web,voluntariado,0,1
2026-07-08,L00448,instagram,general,0,2
2026-07-08,L00449,referido,general,0,1
2026-07-08,L00450,podium,donacion,1,1
2026-07-09,L00451,web,talleres,1,1
2026-07-09,L00452,web,talleres,0,0
2026-07-09,L00453,facebook,general,0,0
2026-07-09,L00454,referido,talleres,1,0
2026-07-09,L00455,instagram,talleres,0,5
2026-07-09,L00456,facebook,donacion,0,1
2026-07-09,L00457,facebook,talleres,0,0
2026-07-10,L00458,instagram,talleres,0,0
2026-07-10,L00459,instagram,general,0,0
2026-07-10,L00460,instagram,talleres,1,1
2026-07-10,L00461,facebook,talleres,0,0
2026-07-10,L00462,instagram,voluntariado,0,0
2026-07-10,L00463,facebook,talleres,1,1
2026-07-11,L00464,referido,talleres,1,0
2026-07-11,L00465,facebook,talleres,0,2
2026-07-11,L00466,facebook,talleres,0,1
2026-07-11,L00467,facebook,general,0,0
2026-07-11,L00468,facebook,talleres,0,1
2026-07-12,L00469,web,general,0,1
2026-07-12,L00470,facebook,talleres,0,0
2026-07-12,L00471,instagram,general,0,0
2026-07-12,L00472,facebook,donacion,0,1
2026-07-13,L00473,facebook,talleres,1,1
2026-07-13,L00474,referido,talleres,1,0
2026-07-13,L00475,web,talleres,0,3
2026-07-13,L00476,web,general,0,0
2026-07-13,L00477,referido,general,1,0
2026-07-13,L00478,facebook,voluntariado,0,2
2026-07-13,L00479,facebook,talleres,0,1
2026-07-13,L00480,facebook,talleres,0,5
2026-07-13,L00481,instagram,talleres,0,1
2026-07-14,L00482,facebook,talleres,0,0
2026-07-14,L00483,facebook,general,0,1
2026-07-14,L00484,podium,donacion,0,1
2026-07-14,L00485,instagram,donacion,0,0
2026-07-14,L00486,instagram,talleres,1,0
2026-07-14,L00487,podium,talleres,1,1
2026-07-14,L00488,web,talleres,0,3
2026-07-14,L00489,facebook,talleres,0,0
2026-07-14,L00490,web,talleres,1,0
2026-07-14,L00491,web,donacion,0,0
2026-07-15,L00492,facebook,talleres,0,5
2026-07-15,L00493,facebook,talleres,0,0
2026-07-15,L00494,web,general,0,3
2026-07-15,L00495,web,voluntariado,0,5
2026-07-15,L00496,web,talleres,0,3
2026-07-15,L00497,web,donacion,0,0
2026-07-15,L00498,facebook,talleres,1,0
2026-07-15,L00499,instagram,talleres,0,1
2026-07-15,L00500,podium,donacion,1,0
2026-07-16,L00501,web,talleres,1,2
2026-07-16,L00502,facebook,general,0,3
2026-07-16,L00503,podium,talleres,1,0
2026-07-16,L00504,facebook,talleres,0,0
2026-07-16,L00505,web,talleres,0,0
2026-07-16,L00506,facebook,talleres,0,2
2026-07-16,L00507,podium,general,0,0
2026-07-16,L00508,instagram,general,0,2
2026-07-16,L00509,podium,talleres,1,1
2026-07-17,L00510,facebook,general,0,0
2026-07-17,L00511,podium,general,0,0
2026-07-17,L00512,instagram,talleres,1,1
2026-07-17,L00513,web,general,0,1
2026-07-17,L00514,facebook,general,1,1
2026-07-17,L00515,podium,donacion,1,3
2026-07-17,L00516,instagram,general,0,0
2026-07-18,L00517,instagram,talleres,0,0
2026-07-18,L00518,referido,talleres,1,2
2026-07-18,L00519,facebook,voluntariado,0,0
2026-07-18,L00520,web,general,0,0
2026-07-18,L00521,referido,voluntariado,0,0
2026-07-19,L00522,podium,general,0,0
2026-07-19,L00523,web,general,0,1
2026-07-19,L00524,web,general,1,0
2026-07-19,L00525,facebook,voluntariado,1,1
2026-07-19,L00526,web,talleres,0,0
2026-07-19,L00527,podium,talleres,0,1
2026-07-19,L00528,web,talleres,0,0
2026-07-19,L00529,podium,talleres,1,0
2026-07-19,L00530,instagram,talleres,1,1
2026-07-19,L00531,facebook,talleres,0,3
2026-07-19,L00532,facebook,general,0,0
2026-07-20,L00533,instagram,general,0,3
2026-07-20,L00534,instagram,talleres,0,0
2026-07-20,L00535,facebook,voluntariado,0,0
2026-07-20,L00536,web,talleres,1,2
2026-07-20,L00537,facebook,talleres,0,2
2026-07-20,L00538,web,donacion,1,1
2026-07-20,L00539,instagram,talleres,0,1
2026-07-20,L00540,facebook,talleres,1,2
2026-07-20,L00541,podium,donacion,0,1
2026-07-21,L00542,facebook,donacion,0,0
2026-07-21,L00543,web,talleres,1,0
2026-07-21,L00544,facebook,talleres,1,0
2026-07-21,L00545,web,talleres,1,1
2026-07-21,L00546,instagram,talleres,1,0
2026-07-21,L00547,instagram,talleres,0,0
2026-07-21,L00548,instagram,talleres,0,0
2026-07-21,L00549,facebook,general,0,1
2026-07-21,L00550,facebook,talleres,0,1
2026-07-21,L00551,podium,general,1,1
2026-07-22,L00552,web,general,0,1
2026-07-22,L00553,instagram,talleres,1,0
2026-07-22,L00554,instagram,talleres,0,1
2026-07-22,L00555,instagram,talleres,1,0
2026-07-22,L00556,web,general,0,0
2026-07-22,L00557,instagram,general,0,0
2026-07-22,L00558,web,talleres,0,1
2026-07-22,L00559,facebook,talleres,0,3
2026-07-22,L00560,facebook,talleres,0,0
2026-07-22,L00561,podium,general,1,0
2026-07-23,L00562,facebook,donacion,1,0
2026-07-23,L00563,instagram,general,0,2
2026-07-23,L00564,web,talleres,1,1
2026-07-23,L00565,web,voluntariado,0,2
2026-07-23,L00566,instagram,talleres,0,1
2026-07-23,L00567,web,general,0,0
2026-07-23,L00568,web,general,1,1
2026-07-23,L00569,podium,talleres,1,0
2026-07-23,L00570,web,talleres,0,3
2026-07-24,L00571,web,talleres,1,1
2026-07-24,L00572,facebook,talleres,0,0
2026-07-24,L00573,instagram,voluntariado,0,1
2026-07-24,L00574,web,talleres,0,0
2026-07-24,L00575,podium,general,0,1
2026-07-24,L00576,facebook,voluntariado,0,1
2026-07-24,L00577,facebook,talleres,0,0
2026-07-25,L00578,web,general,1,1
2026-07-25,L00579,web,talleres,1,1
2026-07-25,L00580,web,talleres,0,3
2026-07-25,L00581,instagram,talleres,0,1
2026-07-25,L00582,instagram,talleres,1,1
2026-07-26,L00583,facebook,talleres,0,1
2026-07-26,L00584,instagram,general,0,1
2026-07-26,L00585,instagram,general,0,1
2026-07-26,L00586,podium,talleres,1,1
2026-07-27,L00587,web,talleres,0,0
2026-07-27,L00588,podium,general,1,2
2026-07-27,L00589,web,general,0,3
2026-07-27,L00590,referido,talleres,0,3
2026-07-27,L00591,referido,general,1,5
2026-07-27,L00592,facebook,talleres,0,1
2026-07-27,L00593,referido,voluntariado,1,0
2026-07-28,L00594,instagram,talleres,0,1
2026-07-28,L00595,podium,general,0,1
2026-07-28,L00596,facebook,talleres,0,1
2026-07-28,L00597,instagram,donacion,0,0
2026-07-28,L00598,referido,talleres,1,0
2026-07-28,L00599,instagram,talleres,0,1
2026-07-28,L00600,facebook,general,0,0
2026-07-28,L00601,instagram,voluntariado,0,1
2026-07-29,L00602,podium,general,1,0
2026-07-29,L00603,web,general,0,0
2026-07-29,L00604,web,talleres,1,3
2026-07-29,L00605,instagram,talleres,1,0
2026-07-29,L00606,web,talleres,0,2
2026-07-29,L00607,facebook,voluntariado,0,2
2026-07-29,L00608,facebook,general,1,1
2026-07-29,L00609,facebook,talleres,0,0
2026-07-29,L00610,web,talleres,1,0
2026-07-29,L00611,facebook,talleres,1,0
2026-07-30,L00612,podium,voluntariado,0,5
2026-07-30,L00613,instagram,general,0,0
2026-07-30,L00614,instagram,voluntariado,1,0
2026-07-30,L00615,facebook,talleres,0,0
2026-07-30,L00616,instagram,donacion,1,0
2026-07-30,L00617,web,general,0,1
2026-07-30,L00618,web,talleres,0,0
